"X...ID";"ClassNr";"Grade";"Sex";"AgeW1";"ETH01";"ETH03";"EduLevel";"StateW16";"TypeD1";"AWB01W14";"CWB01W14";"MPT01W14";"INTGDW1";"INTGFW1";"INTGMW1";"INPD1W1";"INAD1W1";"INPD2W1";"INAD2W1";"INPF1W1";"INAF1W1";"INPF2W1";"INAF2W1";"INAL0W1";"INC01W13";"INF01W1";"INF02W1";"FBI01W1R";"FBI02W1";"IFI01W1";"IFI02W1";"FNr01W1";"NCompletedE1";"NCompletedE2";"donated";"DDPcomp";"intended";"numcompl";"PAF";"NAF";"SEEW14";"LONW14";"SRT14";"SCPW1";"MPSW1";"FQW1";"PRW14";"PMKW14";"ADSW14"
105;"7";"9";"Jongen";14.7652;"Nederland";"Nederlander";"Havo";"completed";NA;6;1;"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";"7 keer  per week";7;50;"7 dagen";"Nooit";"7 dagen";"7 dagen";8;0;6;4;"INAL5W1";"none";400;1;8;NA;4;4;9;105;83;0;1;1;100;4.42857142857143;1.14285714285714;4.5;1.4;2.66666666666667;1;3.2;4.25;1;1;2.25
35;"30";"9";"Meisje";14.43676;"Nederland";"Nederlander";"Vwo (Atheneum/Gymnasium)";"completed";NA;4;3;"Ik heb een iPhone";"7 keer  per week";2;30;"4 dagen";"1 dag";"1 dag";"1 dag";1;1;1;1;NA;"multiple";600;1;6;5;5;2;12;97;40;0;1;1;100;2.71428571428571;3.14285714285714;2.25;1;3;1;4;3.75;2;2.25;1
93;"17";"8";"Jongen";13.18567;"Nederland";"Nederlander";"Vmbo";"completed";NA;4;5;"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";"7 keer  per week";4;30;"7 dagen";"Nooit";"1 dag";"4 dagen";3;0;1;4;"INAL2W1";"none";140;1;7;7;5;3;10;109;32;0;1;0;100;3.85714285714286;1.71428571428571;4.5;1;3;5;1.6;4.5;4;2.25;1
331;"28";"9";"Meisje";14.85041;"Nederland";"Anders";"Vmbo";"completed";NA;6;8;"Ik heb een iPhone";"7 keer  per week";10;20;"2 dagen";"Nooit";"2 dagen";"7 dagen";2;0;2;6;"INAL2W1";"none";440;2;7;6;4;4;10;120;110;0;1;0;100;3.71428571428571;2.14285714285714;4.5;1;4.11111111111111;2.66666666666667;3.6;4.5;0;3.25;1
131;"6";"9";"Jongen";15.93746;"Nederland";"Nederlander";"Havo";"completed";NA;6;8;"Ik heb een iPhone";"6 keer  per week";4;30;"7 dagen";"Nooit";"Nooit";"Nooit";2;0;0;0;"INAL2W1,INAL3W1,INAL4W1";"multiple";747;1;NA;NA;4;4;8;92;96;0;1;0;100;3.71428571428571;2.71428571428571;4.5;1.4;2.77777777777778;2.33333333333333;3;4;2;3.25;1.25
33;"23";"9";"Meisje";15.10265;"Nederland";"Nederlander";"Havo";"completed";"other";6;8;"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";"5 keer  per week";3;15;"6 dagen";"Nooit";"Nooit";"Nooit";2;0;0;0;"INAL2W1";"none";260;1;NA;NA;3;1;6;98;84;1;1;1;100;3.85714285714286;1.71428571428571;4.5;1.8;3.11111111111111;3.33333333333333;1.4;4.5;3;3;2
101;"7";"9";"Meisje";13.93564;"Nederland";"Nederlander";"Havo";"completed";NA;5;8;"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";"7 keer  per week";6;20;"7 dagen";"1 dag";"2 dagen";"2 dagen";5;1;2;2;NA;"none";382;4;7;6;7;3;3;84;26;0;1;0;100;3.57142857142857;2.57142857142857;2.75;2.8;1.66666666666667;3.33333333333333;3;4.5;4;3.25;1.5
244;"30";"9";"Meisje";15.01721;"Nederland";"Nederlander";"Vwo (Atheneum/Gymnasium)";"completed";NA;5;6;"Ik heb een iPhone";"7 keer  per week";4;30;"7 dagen";"3 dagen";"2 dagen";"2 dagen";4;1;1;1;NA;"none";550;2;7;1;4;1;8;114;97;0;1;0;100;3.42857142857143;1.71428571428571;3.5;2.2;3.66666666666667;2.66666666666667;2.4;3.75;2;3;1
329;"24";"9";"Jongen";14.43701;"Nederland";"Nederlander";"Vmbo";"completed";"public";5;7;"Ik heb een iPhone";"7 keer  per week";5;15;"7 dagen";"1 dag";"3 dagen";"1 dag";6;1;3;1;NA;"none";500;4;8;NA;5;4;6;101;88;1;0;1;93;3.85714285714286;2.71428571428571;3.25;2.8;2.44444444444444;3.66666666666667;3.2;3.75;2;3.25;2
387;"10";"9";"Jongen";14.35499;"Nederland";"Nederlander";"Vmbo";"completed";NA;7;1;"Ik heb een iPhone";"6 keer  per week";2;10;"6 dagen";"Nooit";"Nooit";"Nooit";1;0;0;0;"INAL2W1,INAL3W1,INAL4W1";"one";900;1;NA;NA;1;1;10;95;67;0;1;0;100;5;1.71428571428571;4.5;1;2.44444444444444;4;2.8;3.75;3;3.5;3.25
119;"21";"9";"Jongen";14.60421;"Nederland";"Nederlander";"Havo";"attrition";NA;6;7;"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";"7 keer  per week";20;60;"Nooit";"Nooit";"7 dagen";"3 dagen";0;0;2;1;"INAL1W1";"none";110;1;8;NA;1;1;12;48;NA;0;0;0;62;3.14285714285714;2.85714285714286;4;2;2.22222222222222;3.33333333333333;2.8;4;3;1;4
369;"23";"9";"Jongen";15.10264;"Nederland";"Nederlander";"Havo";"completed";"public";5;6;"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";"7 keer  per week";3;7;"7 dagen";"Nooit";"7 dagen";"5 dagen";2;0;2;1;"INAL2W1";"none";156;3;6;6;1;1;5;111;96;1;1;1;94;4;2.14285714285714;3.5;1.6;3.88888888888889;3;2.2;4.75;3;2.25;2.25
299;"1";"9";"Meisje";14.18479;"Nederland";"Nederlander";"Vmbo";"completed";"public";6;7;"Ik heb een iPhone";"7 keer  per week";5;20;"7 dagen";"Nooit";"1 dag";"1 dag";5;0;1;1;"INAL2W1";"none";160;2;9;6;3;2;8;86;62;1;1;1;100;3.85714285714286;2.28571428571429;3.75;2;3.88888888888889;4.33333333333333;1.8;4.25;5;3.75;1
370;"30";"9";"Meisje";14.18489;"Nederland";"Nederlander";"Vwo (Atheneum/Gymnasium)";"completed";NA;5;6;"Ik heb een iPhone";"7 keer  per week";2;30;"7 dagen";"Nooit";"Nooit";"Nooit";2;0;0;0;"INAL2W1,INAL3W1,INAL4W1";"one";480;4;NA;NA;6;5;20;109;78;0;1;1;100;4.14285714285714;1.28571428571429;4;2.2;2.33333333333333;4;2.2;4;0;2;2
364;"8";"8";"Jongen";14.01803;"Nederland";"Nederlander";"Vmbo";"completed";NA;5;8;"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";"1 keer  per week";2;15;"1 dag";"Nooit";"Nooit";"Nooit";2;0;0;0;"INAL5W1";"none";200;1;NA;NA;NA;NA;12;105;99;0;1;0;100;4.14285714285714;1.57142857142857;4.5;1.2;2.77777777777778;3.33333333333333;2;3.75;3;2.5;1.5
